time,open,high,low,close,tick_volume,spread,real_volume
2003-10-01,217.49,217.67,217.31,217.49,73,0,0
2003-10-02,215.91,216.09,215.73,215.91,73,0,0
2003-10-03,216.75,216.93,216.57,216.75,73,0,0
2003-10-06,218.79,218.97,218.61,218.79,73,0,0
2003-10-07,215.35,215.53,215.17,215.35,73,0,0
2003-10-08,215.08,215.26,214.9,215.08,73,0,0
2003-10-09,214.01,214.19,213.83,214.01,73,0,0
2003-10-10,216.32,216.5,216.14,216.32,73,0,0
2003-10-13,218.97,219.15,218.79,218.97,73,0,0
2003-10-14,219.7,219.88,219.52,219.7,73,0,0
2003-10-15,219.23,219.41,219.05,219.23,73,0,0
2003-10-16,221.27,221.45,221.09,221.27,73,0,0
2003-10-17,221.66,221.84,221.48,221.66,73,0,0
2003-10-20,219.65,219.83,219.47,219.65,73,0,0
2003-10-21,219.81,219.99,219.63,219.81,73,0,0
2003-10-22,219.08,219.26,218.9,219.08,73,0,0
2003-10-27,219.2,219.38,219.02,219.2,73,0,0
2003-10-28,218.7,218.88,218.52,218.7,73,0,0
2003-10-29,218.53,218.71,218.35,218.53,73,0,0
2003-10-30,219.38,219.56,219.2,219.38,73,0,0
2003-10-31,222.7,222.89,222.51,222.7,77,0,0
2003-11-03,226.18,226.37,225.99,226.18,77,0,0
2003-11-04,227.28,227.47,227.09,227.28,77,0,0
2003-11-05,226.03,226.22,225.84,226.03,77,0,0
2003-11-06,225.77,225.96,225.58,225.77,77,0,0
2003-11-07,225.36,225.55,225.17,225.36,77,0,0
2003-11-10,223.6,223.79,223.41,223.6,77,0,0
2003-11-11,224.12,224.31,223.93,224.12,77,0,0
2003-11-12,223.56,223.75,223.37,223.56,77,0,0
2003-11-13,221.53,221.71,221.35,221.53,73,0,0
2003-11-14,219.0,219.18,218.82,219.0,73,0,0
2003-11-17,218.6,218.78,218.42,218.6,73,0,0
2003-11-18,218.51,218.69,218.33,218.51,73,0,0
2003-11-19,216.5,216.68,216.32,216.5,73,0,0
2003-11-20,216.6,216.78,216.42,216.6,73,0,0
2003-11-21,216.78,216.96,216.6,216.78,73,0,0
2003-11-24,218.74,218.92,218.56,218.74,73,0,0
2003-11-25,222.48,222.67,222.29,222.48,77,0,0
2003-11-26,221.21,221.39,221.03,221.21,73,0,0
2003-11-27,220.71,220.89,220.53,220.71,73,0,0
2003-11-28,221.12,221.3,220.94,221.12,73,0,0
2003-12-01,218.19,218.37,218.01,218.19,73,0,0
2003-12-02,227.35,227.54,227.16,227.35,77,0,0
2003-12-03,223.55,223.74,223.36,223.55,77,0,0
2003-12-04,223.64,223.83,223.45,223.64,77,0,0
2003-12-05,222.39,222.58,222.2,222.39,77,0,0
2003-12-08,220.13,220.31,219.95,220.13,73,0,0
2003-12-09,218.44,218.62,218.26,218.44,73,0,0
2003-12-10,216.75,216.93,216.57,216.75,73,0,0
2003-12-11,216.25,216.43,216.07,216.25,73,0,0
2003-12-12,214.75,214.93,214.57,214.75,73,0,0
2003-12-15,215.28,215.46,215.1,215.28,73,0,0
2003-12-16,213.93,214.11,213.75,213.93,73,0,0
2003-12-17,214.32,214.5,214.14,214.32,73,0,0
2003-12-18,212.11,212.29,211.93,212.11,73,0,0
2003-12-19,211.0,211.18,210.82,211.0,73,0,0
2003-12-22,211.19,211.37,211.01,211.19,73,0,0
2003-12-23,210.83,211.01,210.65,210.83,73,0,0
2003-12-29,208.99,209.16,208.82,208.99,69,0,0
2003-12-30,209.3,209.47,209.13,209.3,69,0,0
2003-12-31,207.92,208.09,207.75,207.92,69,0,0
2004-01-05,206.83,207.0,206.66,206.83,69,0,0
2004-01-06,203.9,204.07,203.73,203.9,69,0,0
2004-01-07,206.92,207.09,206.75,206.92,69,0,0
2004-01-08,209.57,209.74,209.4,209.57,69,0,0
2004-01-09,211.55,211.73,211.37,211.55,73,0,0
2004-01-12,209.53,209.7,209.36,209.53,69,0,0
2004-01-13,211.01,211.19,210.83,211.01,73,0,0
2004-01-14,210.46,210.64,210.28,210.46,73,0,0
2004-01-15,210.48,210.66,210.3,210.48,73,0,0
2004-01-16,213.82,214.0,213.64,213.82,73,0,0
2004-01-19,214.37,214.55,214.19,214.37,73,0,0
2004-01-20,211.77,211.95,211.59,211.77,73,0,0
2004-01-21,208.64,208.81,208.47,208.64,69,0,0
2004-01-22,207.19,207.36,207.02,207.19,69,0,0
2004-01-23,206.13,206.3,205.96,206.13,69,0,0
2004-01-26,208.88,209.05,208.71,208.88,69,0,0
2004-01-27,210.65,210.83,210.47,210.65,73,0,0
2004-01-28,208.83,209.0,208.66,208.83,69,0,0
2004-01-29,210.43,210.61,210.25,210.43,73,0,0
2004-01-30,214.2,214.38,214.02,214.2,73,0,0
2004-02-02,212.13,212.31,211.95,212.13,73,0,0
2004-02-03,211.9,212.08,211.72,211.9,73,0,0
2004-02-04,210.99,211.17,210.81,210.99,73,0,0
2004-02-05,211.22,211.4,211.04,211.22,73,0,0
2004-02-06,214.48,214.66,214.3,214.48,73,0,0
2004-02-09,209.68,209.85,209.51,209.68,69,0,0
2004-02-10,207.2,207.37,207.03,207.2,69,0,0
2004-02-11,208.19,208.36,208.02,208.19,69,0,0
2004-02-12,206.17,206.34,206.0,206.17,69,0,0
2004-02-13,205.25,205.42,205.08,205.25,69,0,0
2004-02-16,206.19,206.36,206.02,206.19,69,0,0
2004-02-17,205.07,205.24,204.9,205.07,69,0,0
2004-02-18,203.79,203.96,203.62,203.79,69,0,0
2004-02-19,206.55,206.72,206.38,206.55,69,0,0
2004-02-20,206.33,206.5,206.16,206.33,69,0,0
2004-02-23,208.23,208.4,208.06,208.23,69,0,0
2004-02-24,205.97,206.14,205.8,205.97,69,0,0
2004-02-25,203.91,204.08,203.74,203.91,69,0,0
2004-02-26,207.36,207.53,207.19,207.36,69,0,0
2004-02-27,208.2,208.37,208.03,208.2,69,0,0
2004-03-01,205.88,206.05,205.71,205.88,69,0,0
2004-03-02,206.66,206.83,206.49,206.66,69,0,0
2004-03-03,210.76,210.94,210.58,210.76,73,0,0
2004-03-04,209.76,209.93,209.59,209.76,69,0,0
2004-03-05,209.29,209.46,209.12,209.29,69,0,0
2004-03-08,205.56,205.73,205.39,205.56,69,0,0
2004-03-09,205.49,205.66,205.32,205.49,69,0,0
2004-03-10,206.5,206.67,206.33,206.5,69,0,0
2004-03-11,207.13,207.3,206.96,207.13,69,0,0
2004-03-12,206.27,206.44,206.1,206.27,69,0,0
2004-03-16,205.96,206.13,205.79,205.96,69,0,0
2004-03-17,208.0,208.17,207.83,208.0,69,0,0
2004-03-18,208.0,208.17,207.83,208.0,69,0,0
2004-03-19,205.51,205.68,205.34,205.51,69,0,0
2004-03-22,206.01,206.18,205.84,206.01,69,0,0
2004-03-23,204.46,204.63,204.29,204.46,69,0,0
2004-03-24,204.72,204.89,204.55,204.72,69,0,0
2004-03-25,206.39,206.56,206.22,206.39,69,0,0
2004-03-26,206.77,206.94,206.6,206.77,69,0,0
2004-03-29,206.89,207.06,206.72,206.89,69,0,0
2004-03-30,204.99,205.16,204.82,204.99,69,0,0
2004-03-31,203.65,203.82,203.48,203.65,69,0,0
2004-04-01,202.03,202.2,201.86,202.03,69,0,0
2004-04-02,202.52,202.69,202.35,202.52,69,0,0
2004-04-05,205.2,205.37,205.03,205.2,69,0,0
2004-04-06,205.53,205.7,205.36,205.53,69,0,0
2004-04-07,205.35,205.52,205.18,205.35,69,0,0
2004-04-08,203.78,203.95,203.61,203.78,69,0,0
2004-04-09,204.85,205.02,204.68,204.85,69,0,0
2004-04-13,206.87,207.04,206.7,206.87,69,0,0
2004-04-14,209.46,209.63,209.29,209.46,69,0,0
2004-04-15,212.14,212.32,211.96,212.14,73,0,0
2004-04-16,210.53,210.71,210.35,210.53,73,0,0
2004-04-19,209.03,209.2,208.86,209.03,69,0,0
2004-04-20,209.76,209.93,209.59,209.76,69,0,0
2004-04-21,211.82,212.0,211.64,211.82,73,0,0
2004-04-22,213.3,213.48,213.12,213.3,73,0,0
2004-04-23,211.38,211.56,211.2,211.38,73,0,0
2004-04-26,211.56,211.74,211.38,211.56,73,0,0
2004-04-27,210.34,210.52,210.16,210.34,73,0,0
2004-04-28,210.83,211.01,210.65,210.83,73,0,0
2004-04-29,214.21,214.39,214.03,214.21,73,0,0
2004-04-30,210.88,211.06,210.7,210.88,73,0,0
2004-05-03,209.87,210.04,209.7,209.87,69,0,0
2004-05-04,208.83,209.0,208.66,208.83,69,0,0
2004-05-05,206.64,206.81,206.47,206.64,69,0,0
2004-05-06,206.58,206.75,206.41,206.58,69,0,0
2004-05-07,208.94,209.11,208.77,208.94,69,0,0
2004-05-10,214.74,214.92,214.56,214.74,73,0,0
2004-05-11,214.68,214.86,214.5,214.68,73,0,0
2004-05-12,213.15,213.33,212.97,213.15,73,0,0
2004-05-13,215.4,215.58,215.22,215.4,73,0,0
2004-05-14,217.24,217.42,217.06,217.24,73,0,0
2004-05-17,212.27,212.45,212.09,212.27,73,0,0
2004-05-18,211.43,211.61,211.25,211.43,73,0,0
2004-05-19,210.91,211.09,210.73,210.91,73,0,0
2004-05-20,211.93,212.11,211.75,211.93,73,0,0
2004-05-21,210.78,210.96,210.6,210.78,73,0,0
2004-05-24,211.71,211.89,211.53,211.71,73,0,0
2004-05-25,208.89,209.06,208.72,208.89,69,0,0
2004-05-26,207.55,207.72,207.38,207.55,69,0,0
2004-05-27,207.02,207.19,206.85,207.02,69,0,0
2004-05-28,204.79,204.96,204.62,204.79,69,0,0
2004-06-01,205.54,205.71,205.37,205.54,69,0,0
2004-06-02,204.85,205.02,204.68,204.85,69,0,0
2004-06-03,206.0,206.17,205.83,206.0,69,0,0
2004-06-04,206.64,206.81,206.47,206.64,69,0,0
2004-06-07,204.89,205.06,204.72,204.89,69,0,0
2004-06-08,203.88,204.05,203.71,203.88,69,0,0
2004-06-09,205.89,206.06,205.72,205.89,69,0,0
2004-06-10,209.83,210.0,209.66,209.83,69,0,0
2004-06-11,211.7,211.88,211.52,211.7,73,0,0
2004-06-14,211.71,211.89,211.53,211.71,73,0,0
2004-06-15,210.01,210.18,209.84,210.01,69,0,0
2004-06-16,209.02,209.19,208.85,209.02,69,0,0
2004-06-17,211.17,211.35,210.99,211.17,73,0,0
2004-06-18,213.23,213.41,213.05,213.23,73,0,0
2004-06-21,210.39,210.57,210.21,210.39,73,0,0
