date,open,high,low,close,tick_volume,spread,real_volume
2004-04-21,4.75,4.7693,4.7299,4.7547,7863,0,0
2004-04-22,4.7297,4.7802,4.7222,4.7671,4457,0,0
2004-04-23,4.7783,4.8,4.7363,4.7592,6065,0,0
2004-04-26,4.7501999999999995,4.7856,4.7191,4.7701,7084,0,0
2004-04-27,4.7694,4.8077,4.7499,4.791,7719,0,0
2004-04-28,4.7924,4.8247,4.7579,4.7925,7605,0,0
2004-04-29,4.7927,4.8224,4.7602,4.7961,6414,0,0
2004-04-30,4.796,4.8297,4.7707,4.8104,7957,0,0
2004-05-03,4.8103,4.8228,4.7437000000000005,4.7668,714,0,0
2004-05-04,4.7708,4.7965,4.7361,4.7598,7795,0,0
2004-05-05,4.7656,4.7795,4.728,4.7555,7799,0,0
2004-05-06,4.7543,4.784,4.726,4.755,8118,0,0
2004-05-07,4.7532,4.77,4.7248,4.7539,6230,0,0
2004-05-10,4.7469,4.7788,4.7268,4.7533,6808,0,0
2004-05-11,4.7565,4.7941,4.736,4.7801,7361,0,0
2004-05-12,4.786,4.7945,4.7547,4.7786,7554,0,0
2004-05-13,4.7753,4.8042,4.7496,4.7666,6598,0,0
2004-05-14,4.775,4.7931,4.7451,4.7796,7435,0,0
2004-05-17,4.7796,4.806,4.755,4.7775,8497,0,0
2004-05-18,4.7777,4.787,4.6718,4.6899999999999995,8688,0,0
2004-05-19,4.6897,4.7236,4.6594,4.6754,7985,0,0
2004-05-20,4.6896,4.7103,4.6494,4.6915,3563,0,0
2004-05-21,4.6797,4.7208,4.6579,4.6749,4513,0,0
2004-05-24,4.6749,4.6824,4.6136,4.6266,5394,0,0
2004-05-25,4.6264,4.6699,4.6164,4.6583,7928,0,0
2004-05-26,4.6579,4.6825,4.6181,4.6350999999999996,7109,0,0
2004-05-27,4.6357,4.6836,4.6231,4.6616,7087,0,0
2004-05-28,4.6655999999999995,4.6824,4.6228,4.6359,5639,0,0
2004-05-31,4.6359,4.6693999999999996,4.6257,4.6525,937,0,0
2004-06-01,4.6525,4.6797,4.6188,4.6263,6156,0,0
2004-06-02,4.6263,4.6792,4.6188,4.6467,5786,0,0
2004-06-03,4.6528,4.6692,4.6201,4.6411,6284,0,0
2004-06-04,4.6341,4.6756,4.6266,4.6598,5712,0,0
2004-06-07,4.6598,4.6861,4.5816,4.5947,5377,0,0
2004-06-08,4.5893,4.63,4.5781,4.6078,6755,0,0
2004-06-09,4.6068,4.6198,4.57,4.5965,8484,0,0
2004-06-10,4.5946,4.6147,4.5728,4.5969,948,0,0
2004-06-11,4.5969,4.6044,4.5703,4.5856,5704,0,0
2004-06-14,4.5856,4.5931,4.5379000000000005,4.5495,7280,0,0
2004-06-15,4.55,4.5962,4.5418,4.5782,7654,0,0
2004-06-16,4.5782,4.5893,4.5466999999999995,4.5621,7934,0,0
2004-06-17,4.5621,4.5935,4.554,4.5716,7754,0,0
2004-06-18,4.5811,4.6025,4.5628,4.5785,7323,0,0
2004-06-21,4.5785,4.6036,4.5696,4.5888,4610,0,0
2004-06-22,4.6029,4.6108,4.5642,4.5843,7348,0,0
2004-06-23,4.5864,4.6077,4.5401,4.5518,7813,0,0
2004-06-24,4.5518,4.5776,4.542,4.5563,7092,0,0
2004-06-25,4.5605,4.5865,4.5453,4.5635,7024,0,0
2004-06-28,4.562,4.5709,4.5244,4.5431,7277,0,0
2004-06-29,4.5399,4.5581,4.5123999999999995,4.5326,7064,0,0
2004-06-30,4.5322,4.5491,4.4833,4.5015,6937,0,0
2004-07-01,4.5004,4.5262,4.4896,4.5145,6895,0,0
2004-07-02,4.5113,4.5388,4.5012,4.5273,6879,0,0
2004-07-05,4.5275,4.5423,4.5141,4.5234,1538,0,0
2004-07-06,4.5239,4.5532,4.4973,4.5148,6321,0,0
2004-07-07,4.513,4.5434,4.5053,4.5268,6604,0,0
2004-07-08,4.5312,4.5477,4.5144,4.5255,6343,0,0
2004-07-09,4.531,4.5453,4.5032,4.5229,5592,0,0
2004-07-12,4.5229,4.5364,4.4731,4.4884,6152,0,0
2004-07-13,4.4864,4.4994,4.4441,4.4586,6591,0,0
2004-07-14,4.4856,4.4956,4.4299,4.4384,6863,0,0
2004-07-15,4.4384,4.483,4.4164,4.4594,6303,0,0
2004-07-16,4.4655000000000005,4.4867,4.4028,4.4252,5656,0,0
2004-07-19,4.4265,4.4593,4.4104,4.4391,5865,0,0
2004-07-20,4.442,4.4879,4.4287,4.4694,7492,0,0
2004-07-21,4.469,4.4924,4.443,4.4672,6764,0,0
2004-07-22,4.4665,4.4786,4.4291,4.4424,7273,0,0
2004-07-23,4.4415,4.4663,4.4141,4.4447,3024,0,0
2004-07-26,4.4447,4.4685,4.4238,4.4455,2451,0,0
2004-07-27,4.4465,4.454,4.4059,4.4242,2897,0,0
2004-07-28,4.4242,4.4424,4.3953,4.4196,6256,0,0
2004-07-29,4.4283,4.4358,4.3592,4.374,4662,0,0
2004-07-30,4.3801,4.408,4.3597,4.3802,6384,0,0
2004-08-02,4.3782,4.4121,4.37,4.3895,4047,0,0
2004-08-03,4.398,4.4493,4.3779,4.4254,2168,0,0
2004-08-04,4.4254,4.4453,4.3943,4.4067,2807,0,0
2004-08-05,4.4086,4.4221,4.3802,4.3925,907,0,0
2004-08-06,4.3935,4.4177,4.372,4.3965,839,0,0
2004-08-09,4.3965,4.404,4.367,4.3823,1994,0,0
2004-08-10,4.385,4.4258,4.3708,4.4138,847,0,0
2004-08-11,4.4134,4.4454,4.3831,4.4132,1491,0,0
2004-08-12,4.4062,4.4326,4.3978,4.4235,1437,0,0
2004-08-13,4.4185,4.4666,4.4098,4.4442,1965,0,0
2004-08-16,4.4507,4.4625,4.4177,4.4391,3647,0,0
2004-08-17,4.43,4.4498,4.4065,4.4345,743,0,0
2004-08-18,4.4399,4.4786,4.4249,4.4613,4093,0,0
2004-08-19,4.4625,4.5024999999999995,4.4513,4.4857,1314,0,0
2004-08-20,4.4854,4.4934,4.4475,4.467,3922,0,0
2004-08-23,4.4623,4.4753,4.409,4.4248,3787,0,0
2004-08-24,4.4233,4.4623,4.4144,4.4371,4376,0,0
2004-08-25,4.4403,4.4532,4.3905,4.4342,4829,0,0
2004-08-26,4.4308,4.5092,4.4233,4.4966,4959,0,0
2004-08-27,4.5001,4.509,4.4269,4.4466,1075,0,0
2004-08-30,4.4466,4.4753,4.4366,4.4542,2821,0,0
2004-08-31,4.455,4.4719999999999995,4.4372,4.4505,2483,0,0
2004-09-01,4.4499,4.4635,4.4263,4.4475,3103,0,0
2004-09-02,4.445,4.4626,4.4179,4.4331,3324,0,0
2004-09-03,4.4343,4.447,4.4048,4.4184,4353,0,0
2004-09-06,4.4139,4.4277,4.3854,4.3975,972,0,0
2004-09-07,4.3953,4.4099,4.3698,4.3948,2163,0,0
2004-09-08,4.3919,4.408,4.3731,4.3899,3087,0,0
2004-09-09,4.3924,4.4052,4.3681,4.3932,4335,0,0
2004-09-10,4.393,4.4167,4.3787,4.3987,5070,0,0
2004-09-13,4.401,4.4118,4.3641,4.3911,3631,0,0
2004-09-14,4.3908,4.3986,4.3629,4.3759,3623,0,0
2004-09-15,4.3807,4.3882,4.3291,4.3417,4141,0,0
2004-09-16,4.338,4.3627,4.329,4.3514,2789,0,0
2004-09-17,4.3516,4.3676,4.3238,4.34,4065,0,0
2004-09-20,4.3327,4.3455,4.3018,4.3108,2836,0,0
2004-09-21,4.3138,4.329,4.3,4.319,2808,0,0
2004-09-22,4.315,4.3483,4.2977,4.3386,4405,0,0
2004-09-23,4.3386,4.3623,4.3236,4.3389,4324,0,0
2004-09-24,4.3397,4.3686,4.3322,4.3405000000000005,4435,0,0
2004-09-27,4.3503,4.3741,4.3361,4.361,3053,0,0
2004-09-28,4.359,4.3897,4.3416,4.3556,4237,0,0
2004-09-29,4.3556,4.3931000000000004,4.3442,4.3667,3783,0,0
2004-09-30,4.3667,4.3965,4.3536,4.3645,4679,0,0
2004-10-01,4.3645,4.3881,4.3247,4.3425,3084,0,0
2004-10-04,4.3483,4.3558,4.3113,4.3237,3013,0,0
2004-10-05,4.3272,4.3349,4.3027,4.3142,2757,0,0
2004-10-06,4.3134,4.3436,4.2933,4.3306000000000004,3144,0,0
2004-10-07,4.3262,4.3491,4.3142,4.3246,3236,0,0
2004-10-08,4.3246,4.3511,4.3171,4.3426,4741,0,0
2004-10-11,4.3317,4.3468,4.3037,4.318,1770,0,0
2004-10-12,4.318,4.3307,4.2837,4.3029,2507,0,0
2004-10-13,4.3031,4.3184000000000005,4.282,4.2974,3278,0,0
2004-10-14,4.2965,4.3133,4.2802,4.3009,3067,0,0
2004-10-15,4.3039,4.3285,4.2914,4.3051,3526,0,0
2004-10-18,4.3051,4.3152,4.2801,4.2994,2701,0,0
2004-10-19,4.2987,4.3062000000000005,4.2668,4.2777,2876,0,0
2004-10-20,4.2796,4.316,4.2707,4.3034,3913,0,0
2004-10-21,4.3015,4.3173,4.2742,4.2875,3950,0,0
2004-10-22,4.286,4.3067,4.2734,4.2934,3380,0,0
2004-10-25,4.305,4.3929,4.2801,4.3783,4429,0,0
2004-10-26,4.3776,4.3897,4.3378,4.3539,3324,0,0
2004-10-27,4.3544,4.3651,4.3193,4.3385,3462,0,0
2004-10-28,4.3387,4.3524,4.3245000000000005,4.3424,4609,0,0
2004-10-29,4.3421,4.354,4.3093,4.3336,4642,0,0
2004-11-01,4.337,4.3466000000000005,4.2988,4.3117,467,0,0
2004-11-02,4.3153,4.3284,4.2893,4.3025,2198,0,0
2004-11-03,4.3014,4.3242,4.2898,4.3032,4620,0,0
2004-11-04,4.3105,4.3214,4.2783,4.2882,4764,0,0
2004-11-05,4.2952,4.3103,4.2633,4.2761,4635,0,0
2004-11-08,4.2781,4.2978,4.2621,4.2771,3540,0,0
2004-11-09,4.2755,4.2876,4.2425,4.2585,2773,0,0
2004-11-10,4.2603,4.2934,4.2451,4.2776,5609,0,0
2004-11-11,4.2768,4.2994,4.2622,4.2795,415,0,0
2004-11-12,4.2775,4.3122,4.2628,4.2738,4397,0,0
2004-11-15,4.2788,4.2865,4.2473,4.255,3214,0,0
2004-11-16,4.2546,4.2702,4.2422,4.2592,2709,0,0
2004-11-17,4.2585,4.2722999999999995,4.2328,4.2414,3446,0,0
2004-11-18,4.2419,4.266,4.2291,4.2517,3964,0,0
2004-11-19,4.2489,4.2661999999999995,4.2178,4.2326,4203,0,0
2004-11-22,4.2326,4.2426,4.1975,4.2097,2168,0,0
2004-11-23,4.2091,4.2231,4.1918,4.2049,3465,0,0
2004-11-24,4.2077,4.222,4.1929,4.2053,4171,0,0
2004-11-25,4.2053,4.2316,4.1953,4.214,3778,0,0
2004-11-26,4.2142,4.2349,4.2017,4.2231,4077,0,0
2004-11-29,4.2231,4.237,4.2031,4.2145,2830,0,0
2004-11-30,4.2149,4.2265,4.1757,4.188,4858,0,0
2004-12-01,4.19,4.2091,4.1517,4.1683,3662,0,0
2004-12-02,4.1703,4.1941,4.1515,4.1711,4199,0,0
2004-12-03,4.1715,4.1903,4.1575,4.1737,4074,0,0
2004-12-06,4.1737,4.1959,4.154,4.178,2977,0,0
2004-12-07,4.1798,4.1945,4.1658,4.1753,2438,0,0
2004-12-08,4.1752,4.2152,4.1641,4.1862,5202,0,0
2004-12-09,4.1849,4.2045,4.1674,4.1936,4127,0,0
2004-12-10,4.1956,4.2407,4.1819,4.2104,4327,0,0
2004-12-13,4.2139,4.2283,4.1871,4.1977,3352,0,0
2004-12-14,4.1977,4.2092,4.1628,4.1799,3367,0,0
2004-12-15,4.1786,4.193,4.1359,4.1526,3741,0,0
2004-12-16,4.1521,4.1784,4.1439,4.1675,4333,0,0
2004-12-17,4.1672,4.1764,4.1361,4.1492,3645,0,0
2004-12-20,4.1492,4.1567,4.1059,4.1199,3067,0,0
2004-12-21,4.1195,4.1306,4.0829,4.0964,2878,0,0
2004-12-22,4.0993,4.1073,4.0662,4.0837,2837,0,0
2004-12-23,4.0831,4.1025,4.059,4.0743,2824,0,0
2004-12-24,4.0745,4.0876,4.062,4.0723,1195,0,0
2004-12-27,4.0723,4.0858,4.043,4.058,1584,0,0
2004-12-28,4.0578,4.0673,4.0421,4.0515,2824,0,0
2004-12-29,4.0582,4.0868,4.0475,4.0733,3300,0,0
2004-12-30,4.0679,4.0945,4.0518,4.0849,2451,0,0
2004-12-31,4.0791,4.0979,4.0703,4.0856,2061,0,0
2005-01-03,4.0875,4.0952,4.0537,4.0798,3223,0,0
2005-01-04,4.0806000000000004,4.1308,4.0618,4.1089,3824,0,0
2005-01-05,4.111,4.1452,4.0928,4.1075,6047,0,0
2005-01-06,4.1082,4.1362,4.0885,4.1091,5492,0,0
2005-01-07,4.1084,4.1218,4.075,4.0916,5142,0,0
2005-01-10,4.0916,4.1052,4.0497,4.06,3481,0,0
2005-01-11,4.0603,4.0802,4.0425,4.0529,2994,0,0
2005-01-12,4.0558,4.0762,4.0483,4.0633,4016,0,0
2005-01-13,4.0654,4.0945,4.0447,4.0565,3714,0,0
2005-01-14,4.0578,4.0914,4.0388,4.0731,4870,0,0
2005-01-17,4.0731,4.0894,4.0569,4.0721,1758,0,0
2005-01-18,4.0714,4.1136,4.0505,4.1,3758,0,0
2005-01-19,4.099,4.1089,4.0687,4.0867,3937,0,0
2005-01-20,4.0856,4.1231,4.076,4.09,4593,0,0
2005-01-21,4.0964,4.1073,4.0648,4.0801,5535,0,0
2005-01-24,4.0801,4.094,4.0528,4.0637,3342,0,0
2005-01-25,4.0684,4.0883,4.0483,4.0725999999999996,3856,0,0
2005-01-26,4.0725999999999996,4.0923,4.0522,4.0665,3176,0,0
2005-01-27,4.0701,4.0792,4.0502,4.0645,3810,0,0
2005-01-28,4.0591,4.0768,4.038,4.0502,3133,0,0
2005-01-31,4.0502,4.0818,4.0389,4.0651,3051,0,0
2005-02-01,4.0641,4.0716,4.0428,4.0567,2376,0,0
2005-02-02,4.0589,4.0744,4.006,4.0203,3219,0,0
2005-02-03,4.0206,4.0312,3.9602,3.982,3494,0,0
2005-02-04,3.983,3.9949,3.953,3.9626,3257,0,0
2005-02-07,3.9595000000000002,3.9877000000000002,3.9492000000000003,3.9576000000000002,3045,0,0
2005-02-08,3.9536,4.0088,3.9461,3.9941,3473,0,0
2005-02-09,3.9957000000000003,4.0242,3.9848,4.0053,3383,0,0
2005-02-10,4.001,4.0276,3.9882999999999997,4.0157,3096,0,0
2005-02-11,4.0118,4.0428,3.9976000000000003,4.0075,2930,0,0
2005-02-14,4.0075,4.0311,3.9918,4.0052,2908,0,0
2005-02-15,4.0071,4.017,3.9625,3.9759,3450,0,0
2005-02-16,3.9759,4.0264,3.958,3.9858000000000002,3385,0,0
2005-02-17,3.9858000000000002,4.0109,3.9769,3.9909,2780,0,0
2005-02-18,3.9905,4.0042,3.9771,3.9914,2976,0,0
2005-02-21,3.9914,4.0004,3.9759,3.9864,1174,0,0
2005-02-22,3.9874,4.0007,3.9452,3.9583,3366,0,0
2005-02-23,3.9589,3.9688,3.917,3.9361,2480,0,0
2005-02-24,3.9361,3.9523,3.924,3.9417,3444,0,0
2005-02-25,3.9398,3.949,3.9015,3.909,4204,0,0
2005-02-28,3.9115,3.9563,3.8797,3.8904,2501,0,0
2005-03-01,3.8909000000000002,3.9295,3.8702,3.9196999999999997,3333,0,0
2005-03-02,3.9199,3.9539,3.9043,3.9381,3356,0,0
2005-03-03,3.9381,3.9557,3.8926,3.9398999999999997,3140,0,0
2005-03-04,3.9324,3.9586,3.888,3.9001,3494,0,0
2005-03-07,3.9001,3.9143,3.8677,3.8852,2665,0,0
2005-03-08,3.8836,3.9087,3.8756,3.8935,2990,0,0
2005-03-09,3.8918,3.9276999999999997,3.8802,3.9053,3213,0,0
2005-03-10,3.911,3.9976000000000003,3.8998,3.9743,3087,0,0
2005-03-11,3.9796,3.9922,3.9325,3.9584,1891,0,0
2005-03-14,3.9584,4.0195,3.9436,4.0061,3202,0,0
2005-03-15,4.0068,4.0568,3.9911,4.0562,3118,0,0
2005-03-16,4.0595,4.0913,4.0501,4.07,76,0,0
2005-03-17,4.0792,4.1338,4.073,4.1061,73,0,0
2005-03-18,4.0778,4.0778,4.0331,4.038,50,0,0
2005-03-21,4.0375,4.1273,4.037,4.0571,54,0,0
2005-03-22,4.0579,4.1115,4.0537,4.1,80,0,0
2005-03-23,4.0965,4.1484,4.0965,4.1366,1001,0,0
2005-03-24,4.1334,4.1475,4.1117,4.1184,4516,0,0
2005-03-25,4.1187,4.13,4.0985,4.1265,750,0,0
2005-03-27,4.131,4.131,4.125,4.125,2,0,0
2005-03-28,4.112,4.1878,4.1089,4.1675,1318,0,0
2005-03-29,4.1674,4.1902,4.1126,4.1451,5106,0,0
2005-03-30,4.1468,4.1753,4.0684,4.0685,5591,0,0
2005-03-31,4.1001,4.1023,4.0753,4.0964,4287,0,0
2005-04-01,4.0934,4.1022,4.0556,4.0934,2806,0,0
2005-04-04,4.1008,4.1199,4.0955,4.1059,3051,0,0
2005-04-05,4.1054,4.138,4.0835,4.1225,3948,0,0
2005-04-06,4.123,4.1435,4.0996,4.1349,4089,0,0
