date,open,high,low,close,tick_volume,spread,real_volume
2015-03-05,6.2763,6.2780000000000005,6.2717,6.2721,3371,200,0
2015-03-06,6.2759,6.2844,6.2687,6.2816,6375,200,0
2015-03-09,6.2774,6.282,6.2706,6.2728,6648,50,540250000
2015-03-10,6.2728,6.2836,6.27,6.2772,8983,10,3663750000
2015-03-11,6.2782,6.2808,6.272,6.2779,8934,20,3795250000
2015-03-12,6.2795,6.2801,6.2669,6.2742,10186,40,4152500000
2015-03-13,6.2742,6.2896,6.2683,6.2848,8807,10,3912750000
2015-03-16,6.2804,6.2806,6.2637,6.2669,6072,30,3035750000
2015-03-17,6.2687,6.2694,6.2428,6.2428,8007,30,4003500000
2015-03-18,6.2465,6.2465,6.2207,6.2224,9028,30,4514000000
2015-03-19,6.2174,6.2192,6.2004,6.2159,12084,20,6042000000
2015-03-20,6.2073,6.2228,6.1963,6.2002,11817,0,5908500000
2015-03-23,6.1966,6.2158,6.1951,6.204,9298,10,4649000000
2015-03-24,6.2076,6.2166,6.2027,6.2074,9475,0,4737500000
2015-03-25,6.2107,6.2168,6.2066,6.2111,5953,10,2976500000
2015-03-26,6.2118,6.2173,6.209,6.2141,6152,20,3076000000
2015-03-27,6.2167,6.2245,6.2088,6.2105,7819,20,3909250000
2015-03-30,6.2136,6.2166,6.2053,6.2073,6335,0,3167500000
2015-03-31,6.2071,6.2095,6.2018,6.2052,7367,30,3683500000
2015-04-01,6.2067,6.2102,6.1994,6.2022,6529,30,3264500000
2015-04-02,6.202,6.2068,6.1981,6.1988,5893,30,2946500000
2015-04-03,6.1985,6.2041,6.1934,6.1956,3794,50,1896750000
2015-04-06,6.1949,6.1981,6.1925,6.1949,2593,50,1296500000
2015-04-07,6.1953,6.2011,6.1923,6.1995000000000005,6801,20,3400500000
2015-04-08,6.2,6.2095,6.1978,6.2061,5690,40,2845000000
2015-04-09,6.2086,6.2191,6.2081,6.2171,6099,30,3049500000
2015-04-10,6.2173,6.2216,6.2143,6.2156,5449,40,2724500000
2015-04-13,6.2182,6.229,6.2168,6.2246,6415,30,3207500000
2015-04-14,6.2265,6.2267,6.2117,6.2131,6992,30,3496000000
2015-04-15,6.2142,6.2155,6.1981,6.1999,7380,30,3690000000
2015-04-16,6.1997,6.1999,6.1869,6.1874,8027,20,4013500000
2015-04-17,6.1885,6.1982,6.1855,6.1924,7592,10,3796000000
2015-04-20,6.1984,6.2036,6.1947,6.1947,6354,10,3177000000
2015-04-21,6.1993,6.2015,6.1962,6.1963,5725,30,2862500000
2015-04-22,6.196,6.1988,6.189,6.1941,5824,30,2912000000
2015-04-23,6.1933,6.1982,6.1895,6.1895,6882,20,3441000000
2015-04-24,6.1901,6.1993,6.1895,6.1947,6335,20,3167250000
2015-04-27,6.1949,6.2243,6.1934,6.2146,8993,10,4496500000
2015-04-28,6.2141,6.2194,6.2003,6.2036,9084,20,4542000000
2015-04-29,6.2042,6.208,6.1977,6.2007,7714,20,3857000000
2015-04-30,6.1986,6.2115,6.197,6.2072,10815,50,5407500000
2015-05-01,6.2074,6.2146,6.2073,6.2107,3641,60,1820250000
2015-05-04,6.2097999999999995,6.2154,6.2092,6.2104,4221,20,2110500000
2015-05-05,6.2116,6.2141,6.2057,6.2059,5654,40,2827000000
2015-05-06,6.2076,6.2077,6.1975999999999996,6.2013,7184,30,3592000000
2015-05-07,6.2018,6.2144,6.2004,6.2118,7487,40,3743500000
2015-05-08,6.2102,6.2141,6.2056000000000004,6.2066,9243,20,4621500000
2015-05-11,6.213,6.2163,6.2107,6.2122,6272,40,3136000000
2015-05-12,6.2128,6.2144,6.2063,6.2075,7156,40,3578000000
2015-05-13,6.2078,6.2081,6.1989,6.1994,9525,10,4762500000
2015-05-14,6.1989,6.2047,6.1983,6.2034,8746,10,4373000000
2015-05-15,6.2033,6.208,6.2001,6.2001,8104,20,4052000000
2015-05-18,6.2014,6.2066,6.2014,6.2049,4672,0,2336000000
2015-05-19,6.2057,6.2104,6.2042,6.2084,5301,20,2650500000
2015-05-20,6.2083,6.2092,6.2041,6.2051,7350,20,3675000000
2015-05-21,6.2058,6.2059,6.193,6.1961,9927,30,4963500000
2015-05-22,6.1963,6.2022,6.193,6.1982,7690,30,3845000000
2015-05-25,6.2002,6.2042,6.2001,6.2008,3410,50,1705000000
2015-05-26,6.2018,6.2091,6.2018,6.2086,9039,30,4519250000
2015-05-27,6.2064,6.2085,6.2032,6.2038,6886,20,3443000000
2015-05-28,6.2047,6.2067,6.2,6.2032,7692,10,3846000000
2015-05-29,6.2023,6.2047,6.2004,6.2014,5993,10,2996250000
2015-06-01,6.2031,6.2054,6.1973,6.2045,6107,40,3053500000
2015-06-02,6.2043,6.2053,6.1988,6.1998,6872,40,3436000000
2015-06-03,6.2001,6.2016,6.1975999999999996,6.1983,8481,50,4240500000
2015-06-04,6.1983,6.2086,6.197,6.2033,8565,30,4282500000
2015-06-05,6.205,6.214,6.203,6.209,9681,10,4840250000
2015-06-08,6.2094,6.2149,6.2062,6.2084,10502,30,5250750000
2015-06-09,6.2087,6.2147,6.2087,6.211,8274,30,4137000000
2015-06-10,6.2115,6.2129,6.2068,6.2075,8268,30,4134000000
2015-06-11,6.2088,6.2122,6.2086,6.2114,6827,30,3413500000
2015-06-12,6.2114,6.2193,6.2102,6.213,6946,40,3473000000
2015-06-15,6.2155,6.2155,6.2106,6.2121,6530,30,3264750000
2015-06-16,6.2121,6.2124,6.2081,6.2081,5449,30,2724500000
2015-06-17,6.21,6.2105,6.2019,6.203,9213,40,4606500000
2015-06-18,6.204,6.2086,6.2012,6.2028,6701,10,3350500000
2015-06-19,6.2055,6.2137,6.2018,6.2036999999999995,5776,30,2888000000
2015-06-22,6.20487,6.20547,6.20188,6.20222,6942,48,3471000000
2015-06-23,6.20348,6.20548,6.19909,6.19909,15153,47,7576500000
2015-06-24,6.20031,6.20439,6.19981,6.19981,14006,43,7003000000
2015-06-25,6.20432,6.2085799999999995,6.20213,6.2034,12330,53,6165000000
2015-06-26,6.20529,6.21075,6.20306,6.20306,13770,45,6885000000
2015-06-29,6.21585,6.21586,6.20542,6.20542,13649,45,6824500000
2015-06-30,6.20678,6.2092600000000004,6.20254,6.20593,10414,41,5207000000
2015-07-01,6.20578,6.20633,6.2013300000000005,6.20305,6452,53,3226000000
2015-07-02,6.20545,6.20643,6.20034,6.20118,8282,42,4141000000
2015-07-03,6.203,6.2077,6.1996,6.2018,7201,47,3600250000
2015-07-06,6.20834,6.21792,6.20538,6.21056,10112,51,5056000000
2015-07-07,6.21376,6.22751,6.21173,6.22122,11241,60,5616970000
2015-07-08,6.22065,6.2288,6.21466,6.2221,10327,60,5162350000
2015-07-09,6.21905,6.21959,6.2116,6.2164,7947,60,3973500000
2015-07-10,6.21562,6.21829,6.2122,6.2135,8681,60,4340500000
2015-07-13,6.21693,6.21814,6.2138,6.2156,7569,60,3784500000
2015-07-14,6.21637,6.21738,6.21264,6.2136,6128,60,3064000000
2015-07-15,6.21332,6.216,6.21185,6.2147,5587,60,2793500000
2015-07-16,6.21556,6.21601,6.21267,6.2128,5602,60,2801000000
2015-07-17,6.2129,6.21504,6.2119,6.2119,4200,60,2100000000
2015-07-20,6.21246,6.21445,6.21192,6.2132,3836,60,1918000000
2015-07-21,6.21345,6.21431,6.20758,6.2088,4854,60,2427000000
2015-07-22,6.20896,6.21266,6.20781,6.211,4426,60,2213000000
2015-07-23,6.21229,6.21756,6.212,6.21256,5701,60,2850500000
2015-07-24,6.21384,6.2282,6.21325,6.2267,8283,60,4141500000
2015-07-27,6.22346,6.2288,6.21865,6.21919,6981,60,3490500000
2015-07-28,6.21893,6.22058,6.21404,6.21671,5790,60,2804250000
2015-07-29,6.21666,6.21898,6.21327,6.2164,5871,60,2837500000
2015-07-30,6.21896,6.22253,6.2169,6.21987,5943,60,2863000000
2015-07-31,6.21933,6.22384,6.21468,6.2207,7918,60,3834750000
2015-08-03,6.22039,6.2206,6.21681,6.21844,5672,60,2641500000
2015-08-04,6.2189,6.21983,6.21479,6.21851,5822,60,2835750000
